gm_number,wins,losses,division_rank,gb,c_li,streak,games_back,win_per,win_streak,losing_streak,team,season
36,24,12,2,1.0,1.43,++,-1,0.6666666666666666,2,0,NYY,2010
37,24,13,2,2.0,1.37,-,-2,0.6486486486486487,0,1,NYY,2010
38,25,13,2,2.0,1.47,+,-2,0.6578947368421053,1,0,NYY,2010
39,25,14,2,3.0,1.43,-,-3,0.6410256410256411,0,1,NYY,2010
40,25,15,2,4.0,1.59,--,-4,0.625,0,2,NYY,2010
41,25,16,2,5.0,1.58,---,-5,0.6097560975609756,0,3,NYY,2010
42,26,16,2,4.0,1.29,+,-4,0.6190476190476191,1,0,NYY,2010
43,26,17,2,5.0,1.31,-,-5,0.6046511627906976,0,1,NYY,2010
44,26,18,2,6.0,1.31,--,-6,0.5909090909090909,0,2,NYY,2010
45,27,18,2,4.5,1.45,+,-4.5,0.6,1,0,NYY,2010
46,28,18,2,3.5,1.41,++,-3.5,0.6086956521739131,2,0,NYY,2010
47,28,19,2,4.5,1.39,-,-4.5,0.5957446808510638,0,1,NYY,2010
48,29,19,2,3.5,1.32,+,-3.5,0.6041666666666666,1,0,NYY,2010
49,29,20,2,4.5,1.47,-,-4.5,0.5918367346938775,0,1,NYY,2010
50,30,20,2,3.5,1.31,+,-3.5,0.6,1,0,NYY,2010
51,31,20,2,2.5,1.34,++,-2.5,0.6078431372549019,2,0,NYY,2010
52,32,20,2,2.5,1.36,+++,-2.5,0.6153846153846154,3,0,NYY,2010
53,33,20,2,2.5,1.34,++++,-2.5,0.6226415094339622,4,0,NYY,2010
54,34,20,2,2.0,1.36,+++++,-2,0.6296296296296297,5,0,NYY,2010
55,34,21,2,2.0,1.68,-,-2,0.6181818181818182,0,1,NYY,2010
56,34,22,2,2.0,1.64,--,-2,0.6071428571428571,0,2,NYY,2010
57,35,22,2,2.0,1.74,+,-2,0.6140350877192983,1,0,NYY,2010
58,36,22,2,2.0,1.36,++,-2,0.6206896551724138,2,0,NYY,2010
59,37,22,2,2.0,1.43,+++,-2,0.6271186440677966,3,0,NYY,2010
60,37,23,2,2.0,1.39,-,-2,0.6166666666666667,0,1,NYY,2010
61,38,23,2,1.0,1.37,+,-1,0.6229508196721312,1,0,NYY,2010
62,39,23,2,1.0,1.38,++,-1,0.6290322580645161,2,0,NYY,2010
63,40,23,1,Tied,1.30,+++,0,0.6349206349206349,3,0,NYY,2010
64,41,23,1,Tied,1.34,++++,0,0.640625,4,0,NYY,2010
65,41,24,1,Tied,1.38,-,0,0.6307692307692307,0,1,NYY,2010
66,41,25,1,Tied,1.39,--,0,0.6212121212121212,0,2,NYY,2010
67,41,26,1,Tied,1.30,---,0,0.6119402985074627,0,3,NYY,2010
68,42,26,1,Tied,1.46,+,0,0.6176470588235294,1,0,NYY,2010
69,43,26,1,up 1.0,1.46,++,1,0.6231884057971014,2,0,NYY,2010
70,43,27,1,up 0.5,1.46,-,0.5,0.6142857142857143,0,1,NYY,2010
71,44,27,1,up 1.5,1.50,+,1.5,0.6197183098591549,1,0,NYY,2010
72,45,27,1,up 2.5,1.39,++,2.5,0.625,2,0,NYY,2010
73,46,27,1,up 3.0,1.43,+++,3,0.6301369863013698,3,0,NYY,2010
74,46,28,1,up 2.0,1.32,-,2,0.6216216216216216,0,1,NYY,2010
75,47,28,1,up 2.0,1.38,+,2,0.6266666666666667,1,0,NYY,2010
76,47,29,1,up 1.0,1.37,-,1,0.618421052631579,0,1,NYY,2010
77,47,30,1,up 1.0,1.41,--,1,0.6103896103896104,0,2,NYY,2010
78,48,30,1,up 1.5,1.49,+,1.5,0.6153846153846154,1,0,NYY,2010
79,48,31,1,up 0.5,1.56,-,0.5,0.6075949367088608,0,1,NYY,2010
80,49,31,1,up 0.5,1.61,+,0.5,0.6125,1,0,NYY,2010
81,50,31,1,up 1.5,1.55,++,1.5,0.6172839506172839,2,0,NYY,2010
82,51,31,1,up 2.0,1.43,+++,2,0.6219512195121951,3,0,NYY,2010
83,52,31,1,up 2.0,1.29,++++,2,0.6265060240963856,4,0,NYY,2010
84,53,31,1,up 2.0,1.30,+++++,2,0.6309523809523809,5,0,NYY,2010
85,54,31,1,up 2.0,1.22,++++++,2,0.6352941176470588,6,0,NYY,2010
86,55,31,1,up 3.0,1.07,+++++++,3,0.6395348837209303,7,0,NYY,2010
87,55,32,1,up 2.0,1.03,-,2,0.632183908045977,0,1,NYY,2010
88,56,32,1,up 2.0,1.13,+,2,0.6363636363636364,1,0,NYY,2010
89,57,32,1,up 3.0,1.32,++,3,0.6404494382022472,2,0,NYY,2010
90,57,33,1,up 2.0,1.16,-,2,0.6333333333333333,0,1,NYY,2010
91,58,33,1,up 3.0,1.34,+,3,0.6373626373626373,1,0,NYY,2010
92,58,34,1,up 2.5,.94,-,2.5,0.6304347826086957,0,1,NYY,2010
93,59,34,1,up 2.5,1.06,+,2.5,0.6344086021505376,1,0,NYY,2010
94,60,34,1,up 3.0,.93,++,3,0.6382978723404256,2,0,NYY,2010
95,61,34,1,up 4.0,.84,+++,4,0.6421052631578947,3,0,NYY,2010
96,61,35,1,up 3.0,.76,-,3,0.6354166666666666,0,1,NYY,2010
97,62,35,1,up 3.0,.84,+,3,0.6391752577319587,1,0,NYY,2010
98,63,35,1,up 3.0,.74,++,3,0.6428571428571429,2,0,NYY,2010
99,63,36,1,up 2.0,.70,-,2,0.6363636363636364,0,1,NYY,2010
100,64,36,1,up 2.0,.86,+,2,0.64,1,0,NYY,2010
101,65,36,1,up 2.0,.85,++,2,0.6435643564356436,2,0,NYY,2010
102,65,37,1,up 1.0,.98,-,1,0.6372549019607843,0,1,NYY,2010
103,66,37,1,up 2.0,1.05,+,2,0.6407766990291263,1,0,NYY,2010
104,66,38,1,up 1.0,1.04,-,1,0.6346153846153846,0,1,NYY,2010
105,66,39,1,Tied,.98,--,0,0.6285714285714286,0,2,NYY,2010
106,66,40,2,1.0,.97,---,-1,0.6226415094339622,0,3,NYY,2010
107,67,40,1,Tied,1.22,+,0,0.6261682242990654,1,0,NYY,2010
108,67,41,1,up 0.5,1.47,-,0.5,0.6203703703703703,0,1,NYY,2010
109,68,41,1,up 1.5,1.75,+,1.5,0.6238532110091743,1,0,NYY,2010
110,69,41,1,up 2.5,1.47,++,2.5,0.6272727272727273,2,0,NYY,2010
111,69,42,1,up 1.5,1.22,-,1.5,0.6216216216216216,0,1,NYY,2010
112,69,43,1,up 0.5,1.11,--,0.5,0.6160714285714286,0,2,NYY,2010
113,70,43,1,up 1.5,1.21,+,1.5,0.6194690265486725,1,0,NYY,2010
114,71,43,1,up 2.0,1.09,++,2,0.6228070175438597,2,0,NYY,2010
115,71,44,1,up 2.0,.94,-,2,0.6173913043478261,0,1,NYY,2010
116,72,44,1,up 2.0,1.06,+,2,0.6206896551724138,1,0,NYY,2010
117,72,45,1,up 1.0,.96,-,1,0.6153846153846154,0,1,NYY,2010
118,72,46,1,Tied,1.07,--,0,0.6101694915254238,0,2,NYY,2010
119,73,46,1,Tied,1.15,+,0,0.6134453781512605,1,0,NYY,2010
120,74,46,1,Tied,1.15,++,0,0.6166666666666667,2,0,NYY,2010
121,75,46,1,up 1.0,1.12,+++,1,0.6198347107438017,3,0,NYY,2010
122,75,47,1,up 1.0,.87,-,1,0.6147540983606558,0,1,NYY,2010
123,76,47,1,up 1.0,.94,+,1,0.6178861788617886,1,0,NYY,2010
124,77,47,1,up 1.0,.92,++,1,0.6209677419354839,2,0,NYY,2010
125,77,48,1,Tied,.89,-,0,0.616,0,1,NYY,2010
126,78,48,1,Tied,1.09,+,0,0.6190476190476191,1,0,NYY,2010
127,78,49,1,Tied,.90,-,0,0.6141732283464567,0,1,NYY,2010
128,78,50,1,Tied,1.00,--,0,0.609375,0,2,NYY,2010
129,79,50,1,Tied,1.28,+,0,0.6124031007751938,1,0,NYY,2010
130,80,50,1,Tied,1.02,++,0,0.6153846153846154,2,0,NYY,2010
131,81,50,1,Tied,.79,+++,0,0.6183206106870229,3,0,NYY,2010
132,82,50,1,up 1.0,.68,++++,1,0.6212121212121212,4,0,NYY,2010
133,83,50,1,up 1.0,.51,+++++,1,0.6240601503759399,5,0,NYY,2010
134,84,50,1,up 1.5,.53,++++++,1.5,0.6268656716417911,6,0,NYY,2010
135,85,50,1,up 1.5,.53,+++++++,1.5,0.6296296296296297,7,0,NYY,2010
136,86,50,1,up 2.5,.46,++++++++,2.5,0.6323529411764706,8,0,NYY,2010
137,86,51,1,up 2.5,.30,-,2.5,0.6277372262773723,0,1,NYY,2010
138,86,52,1,up 2.5,.31,--,2.5,0.6231884057971014,0,2,NYY,2010
139,86,53,1,up 1.5,.39,---,1.5,0.6187050359712231,0,3,NYY,2010
140,87,53,1,up 2.5,.45,+,2.5,0.6214285714285714,1,0,NYY,2010
141,87,54,1,up 1.5,.36,-,1.5,0.6170212765957447,0,1,NYY,2010
142,87,55,1,up 0.5,.36,--,0.5,0.6126760563380281,0,2,NYY,2010
143,87,56,1,up 0.5,.39,---,0.5,0.6083916083916084,0,3,NYY,2010
144,87,57,2,0.5,.74,----,-0.5,0.6041666666666666,0,4,NYY,2010
145,88,57,1,up 0.5,1.01,+,0.5,0.6068965517241379,1,0,NYY,2010
146,88,58,2,0.5,.91,-,-0.5,0.6027397260273972,0,1,NYY,2010
147,89,58,1,up 0.5,.75,+,0.5,0.6054421768707483,1,0,NYY,2010
148,90,58,1,up 0.5,.54,++,0.5,0.6081081081081081,2,0,NYY,2010
149,90,59,1,up 0.5,.42,-,0.5,0.6040268456375839,0,1,NYY,2010
150,91,59,1,up 1.5,.78,+,1.5,0.6066666666666667,1,0,NYY,2010
151,92,59,1,up 2.5,.67,++,2.5,0.609271523178808,2,0,NYY,2010
152,92,60,1,up 1.5,.59,-,1.5,0.6052631578947368,0,1,NYY,2010
153,92,61,1,up 0.5,.66,--,0.5,0.6013071895424836,0,2,NYY,2010
154,92,62,2,0.5,.45,---,-0.5,0.5974025974025974,0,3,NYY,2010
155,92,63,2,1.5,.62,----,-1.5,0.5935483870967742,0,4,NYY,2010
156,93,63,2,0.5,.72,+,-0.5,0.5961538461538461,1,0,NYY,2010
157,93,64,2,0.5,.47,-,-0.5,0.5923566878980892,0,1,NYY,2010
158,94,64,2,0.5,.58,+,-0.5,0.5949367088607594,1,0,NYY,2010
159,94,65,2,0.5,.65,-,-0.5,0.5911949685534591,0,1,NYY,2010
160,95,65,1,Tied,.75,+,0,0.59375,1,0,NYY,2010
161,95,66,1,Tied,.58,-,0,0.5900621118012422,0,1,NYY,2010
162,95,67,2,1.0,1.51,--,-1,0.5864197530864198,0,2,NYY,2010
1,1,0,1,up 0.5,1.02,+,0.5,1,1,0,NYY,2011
2,2,0,1,Tied,1.04,++,0,1,2,0,NYY,2011
3,2,1,2,1.0,1.07,-,-1,0.6666666666666666,0,1,NYY,2011
4,3,1,2,1.0,1.04,+,-1,0.75,1,0,NYY,2011
5,3,2,3,1.5,1.12,-,-1.5,0.6,0,1,NYY,2011
6,4,2,2,1.0,1.04,+,-1,0.6666666666666666,1,0,NYY,2011
7,4,3,3,1.5,1.19,-,-1.5,0.5714285714285714,0,1,NYY,2011
8,5,3,2,1.0,1.09,+,-1,0.625,1,0,NYY,2011
9,5,4,2,1.0,1.19,-,-1,0.5555555555555556,0,1,NYY,2011
10,6,4,1,Tied,1.22,+,0,0.6,1,0,NYY,2011
11,7,4,1,up 1.0,1.36,++,1,0.6363636363636364,2,0,NYY,2011
12,7,5,1,up 0.5,1.15,-,0.5,0.5833333333333334,0,1,NYY,2011
13,8,5,1,up 1.5,1.12,+,1.5,0.6153846153846154,1,0,NYY,2011
14,9,5,1,up 2.5,1.20,++,2.5,0.6428571428571429,2,0,NYY,2011
15,9,6,1,up 2.0,1.39,-,2,0.6,0,1,NYY,2011
16,10,6,1,up 2.0,1.38,+,2,0.625,1,0,NYY,2011
17,11,6,1,up 3.0,1.39,++,3,0.6470588235294118,2,0,NYY,2011
18,12,6,1,up 3.0,1.41,+++,3,0.6666666666666666,3,0,NYY,2011
19,12,7,1,up 2.5,1.28,-,2.5,0.631578947368421,0,1,NYY,2011
20,12,8,1,up 2.0,1.24,--,2,0.6,0,2,NYY,2011
21,13,8,1,up 2.0,1.22,+,2,0.6190476190476191,1,0,NYY,2011
22,14,8,1,up 1.5,1.22,++,1.5,0.6363636363636364,2,0,NYY,2011
23,14,9,1,up 1.5,1.37,-,1.5,0.6086956521739131,0,1,NYY,2011
24,15,9,1,up 1.5,1.45,+,1.5,0.625,1,0,NYY,2011
25,16,9,1,up 2.5,1.43,++,2.5,0.64,2,0,NYY,2011
26,17,9,1,up 3.0,1.34,+++,3,0.6538461538461539,3,0,NYY,2011
27,17,10,1,up 2.0,1.30,-,2,0.6296296296296297,0,1,NYY,2011
28,17,11,1,up 2.0,1.33,--,2,0.6071428571428571,0,2,NYY,2011
29,17,12,1,up 1.0,1.27,---,1,0.5862068965517241,0,3,NYY,2011
30,18,12,1,up 1.0,1.27,+,1,0.6,1,0,NYY,2011
31,18,13,1,Tied,1.30,-,0,0.5806451612903226,0,1,NYY,2011
32,19,13,1,Tied,1.38,+,0,0.59375,1,0,NYY,2011
33,20,13,1,up 1.0,1.34,++,1,0.6060606060606061,2,0,NYY,2011
34,20,14,1,Tied,1.41,-,0,0.5882352941176471,0,1,NYY,2011
35,20,15,2,1.0,1.40,--,-1,0.5714285714285714,0,2,NYY,2011
36,20,16,2,2.0,1.40,---,-2,0.5555555555555556,0,3,NYY,2011
37,20,17,2,2.0,1.35,----,-2,0.5405405405405406,0,4,NYY,2011
38,20,18,2,2.0,1.33,-----,-2,0.5263157894736842,0,5,NYY,2011
39,20,19,2,3.0,1.31,------,-3,0.5128205128205128,0,6,NYY,2011
40,21,19,2,2.0,1.25,+,-2,0.525,1,0,NYY,2011
41,22,19,2,2.0,1.20,++,-2,0.5365853658536586,2,0,NYY,2011
42,23,19,2,1.0,1.30,+++,-1,0.5476190476190477,3,0,NYY,2011
43,23,20,3,1.0,1.23,-,-1,0.5348837209302325,0,1,NYY,2011
44,24,20,1,Tied,1.20,+,0,0.5454545454545454,1,0,NYY,2011
45,25,20,1,Tied,1.24,++,0,0.5555555555555556,2,0,NYY,2011
46,25,21,1,Tied,1.47,-,0,0.5434782608695652,0,1,NYY,2011
47,26,21,1,up 0.5,1.42,+,0.5,0.5531914893617021,1,0,NYY,2011
48,27,21,1,up 0.5,1.48,++,0.5,0.5625,2,0,NYY,2011
49,27,22,2,1.0,1.33,-,-1,0.5510204081632653,0,1,NYY,2011
50,27,23,2,1.5,1.27,--,-1.5,0.54,0,2,NYY,2011
51,28,23,2,1.0,1.33,+,-1,0.5490196078431373,1,0,NYY,2011
52,29,23,1,Tied,1.39,++,0,0.5576923076923077,2,0,NYY,2011
53,30,23,1,up 1.0,1.38,+++,1,0.5660377358490566,3,0,NYY,2011
54,31,23,1,up 2.0,1.45,++++,2,0.5740740740740741,4,0,NYY,2011
55,31,24,1,up 1.0,1.50,-,1,0.5636363636363636,0,1,NYY,2011
56,32,24,1,up 1.0,1.53,+,1,0.5714285714285714,1,0,NYY,2011
57,33,24,1,up 1.0,1.51,++,1,0.5789473684210527,2,0,NYY,2011
58,33,25,1,Tied,1.77,-,0,0.5689655172413793,0,1,NYY,2011
59,33,26,2,1.0,1.73,--,-1,0.559322033898305,0,2,NYY,2011
60,33,27,2,2.0,1.76,---,-2,0.55,0,3,NYY,2011
61,34,27,2,2.0,1.45,+,-2,0.5573770491803278,1,0,NYY,2011
62,35,27,2,2.0,1.52,++,-2,0.5645161290322581,2,0,NYY,2011
63,36,27,2,2.0,1.55,+++,-2,0.5714285714285714,3,0,NYY,2011
64,36,28,2,2.5,1.60,-,-2.5,0.5625,0,1,NYY,2011
65,37,28,2,1.5,1.51,+,-1.5,0.5692307692307692,1,0,NYY,2011
66,38,28,2,1.5,1.57,++,-1.5,0.5757575757575758,2,0,NYY,2011
67,39,28,2,1.5,1.54,+++,-1.5,0.582089552238806,3,0,NYY,2011
68,39,29,2,2.5,1.46,-,-2.5,0.5735294117647058,0,1,NYY,2011
69,40,29,2,1.5,1.40,+,-1.5,0.5797101449275363,1,0,NYY,2011
70,41,29,2,1.5,1.50,++,-1.5,0.5857142857142857,2,0,NYY,2011
71,42,29,2,1.5,1.53,+++,-1.5,0.5915492957746479,3,0,NYY,2011
72,43,29,2,0.5,1.46,++++,-0.5,0.5972222222222222,4,0,NYY,2011
73,43,30,2,0.5,1.46,-,-0.5,0.589041095890411,0,1,NYY,2011
74,43,31,2,0.5,1.49,--,-0.5,0.581081081081081,0,2,NYY,2011
75,44,31,1,up 0.5,1.57,+,0.5,0.5866666666666667,1,0,NYY,2011
76,45,31,1,up 0.5,1.49,++,0.5,0.5921052631578947,2,0,NYY,2011
77,46,31,1,up 1.5,1.55,+++,1.5,0.5974025974025974,3,0,NYY,2011
78,47,31,1,up 2.5,1.45,++++,2.5,0.6025641025641025,4,0,NYY,2011
79,48,31,1,up 2.5,1.37,+++++,2.5,0.6075949367088608,5,0,NYY,2011
80,49,31,1,up 2.5,1.33,++++++,2.5,0.6125,6,0,NYY,2011
81,50,31,1,up 2.5,1.24,+++++++,2.5,0.6172839506172839,7,0,NYY,2011
82,50,32,1,up 1.5,1.19,-,1.5,0.6097560975609756,0,1,NYY,2011
83,50,33,1,up 1.5,1.39,--,1.5,0.6024096385542169,0,2,NYY,2011
84,51,33,1,up 1.5,1.46,+,1.5,0.6071428571428571,1,0,NYY,2011
85,51,34,1,up 0.5,1.36,-,0.5,0.6,0,1,NYY,2011
86,51,35,2,0.5,1.88,--,-0.5,0.5930232558139535,0,2,NYY,2011
87,52,35,2,1.0,2.06,+,-1,0.5977011494252874,1,0,NYY,2011
88,53,35,2,1.0,2.05,++,-1,0.6022727272727273,2,0,NYY,2011
89,53,36,2,1.5,1.45,-,-1.5,0.5955056179775281,0,1,NYY,2011
90,53,37,2,1.5,1.59,--,-1.5,0.5888888888888889,0,2,NYY,2011
91,54,37,2,1.5,1.70,+,-1.5,0.5934065934065934,1,0,NYY,2011
92,55,37,2,1.5,1.54,++,-1.5,0.5978260869565217,2,0,NYY,2011
93,56,37,2,1.5,1.81,+++,-1.5,0.6021505376344086,3,0,NYY,2011
94,56,38,2,1.5,1.71,-,-1.5,0.5957446808510638,0,1,NYY,2011
95,57,38,2,1.5,1.81,+,-1.5,0.6,1,0,NYY,2011
96,57,39,2,2.0,1.67,-,-2,0.59375,0,1,NYY,2011
97,58,39,2,2.0,1.37,+,-2,0.5979381443298969,1,0,NYY,2011
98,58,40,2,3.0,1.30,-,-3,0.5918367346938775,0,1,NYY,2011
99,59,40,2,3.0,1.36,+,-3,0.5959595959595959,1,0,NYY,2011
100,60,40,2,2.0,1.31,++,-2,0.6,2,0,NYY,2011
101,61,40,2,2.0,1.23,+++,-2,0.6039603960396039,3,0,NYY,2011
102,61,41,2,3.0,1.08,-,-3,0.5980392156862745,0,1,NYY,2011
103,61,42,2,2.5,1.26,--,-2.5,0.5922330097087378,0,2,NYY,2011
104,62,42,2,2.0,1.34,+,-2,0.5961538461538461,1,0,NYY,2011
105,63,42,2,2.0,1.23,++,-2,0.6,2,0,NYY,2011
106,64,42,2,2.0,1.21,+++,-2,0.6037735849056604,3,0,NYY,2011
107,65,42,2,1.0,1.13,++++,-1,0.6074766355140186,4,0,NYY,2011
108,66,42,2,1.0,.94,+++++,-1,0.6111111111111112,5,0,NYY,2011
109,67,42,2,1.0,.84,++++++,-1,0.6146788990825688,6,0,NYY,2011
110,68,42,1,Tied,.71,+++++++,0,0.6181818181818182,7,0,NYY,2011
111,69,42,1,up 1.0,.87,++++++++,1,0.6216216216216216,8,0,NYY,2011
112,69,43,1,Tied,.81,-,0,0.6160714285714286,0,1,NYY,2011
113,69,44,2,1.0,.80,--,-1,0.6106194690265486,0,2,NYY,2011
114,69,45,2,2.5,.89,---,-2.5,0.6052631578947368,0,3,NYY,2011
115,70,45,2,1.5,1.14,+,-1.5,0.6086956521739131,1,0,NYY,2011
116,71,45,2,1.0,.98,++,-1,0.6120689655172413,2,0,NYY,2011
117,71,46,2,2.0,1.12,-,-2,0.6068376068376068,0,1,NYY,2011
118,72,46,2,1.0,1.36,+,-1,0.6101694915254238,1,0,NYY,2011
119,73,46,1,Tied,.74,++,0,0.6134453781512605,2,0,NYY,2011
120,74,46,1,up 0.5,.62,+++,0.5,0.6166666666666667,3,0,NYY,2011
121,74,47,1,up 0.5,.52,-,0.5,0.6115702479338843,0,1,NYY,2011
122,75,47,1,up 0.5,.65,+,0.5,0.6147540983606558,1,0,NYY,2011
123,76,47,1,up 0.5,.58,++,0.5,0.6178861788617886,2,0,NYY,2011
124,76,48,1,up 0.5,.53,-,0.5,0.6129032258064516,0,1,NYY,2011
125,77,48,1,up 0.5,.65,+,0.5,0.616,1,0,NYY,2011
126,77,49,1,Tied,.54,-,0,0.6111111111111112,0,1,NYY,2011
127,77,50,2,1.0,.66,--,-1,0.6062992125984252,0,2,NYY,2011
128,78,50,2,1.0,.79,+,-1,0.609375,1,0,NYY,2011
129,78,51,2,1.0,.61,-,-1,0.6046511627906976,0,1,NYY,2011
130,78,52,2,2.0,.78,--,-2,0.6,0,2,NYY,2011
131,79,52,2,2.0,.93,+,-2,0.6030534351145038,1,0,NYY,2011
132,80,52,2,1.5,.84,++,-1.5,0.6060606060606061,2,0,NYY,2011
133,81,52,2,0.5,.86,+++,-0.5,0.6090225563909775,3,0,NYY,2011
134,81,53,2,1.5,.80,-,-1.5,0.6044776119402985,0,1,NYY,2011
135,82,53,2,0.5,.87,+,-0.5,0.6074074074074074,1,0,NYY,2011
136,83,53,1,up 0.5,.51,++,0.5,0.6102941176470589,2,0,NYY,2011
137,84,53,1,up 0.5,.41,+++,0.5,0.6131386861313869,3,0,NYY,2011
138,85,53,1,up 1.5,.38,++++,1.5,0.6159420289855072,4,0,NYY,2011
139,86,53,1,up 2.5,.35,+++++,2.5,0.6187050359712231,5,0,NYY,2011
140,87,53,1,up 2.5,.31,++++++,2.5,0.6214285714285714,6,0,NYY,2011
141,87,54,1,up 2.5,.23,-,2.5,0.6170212765957447,0,1,NYY,2011
142,87,55,1,up 2.5,.31,--,2.5,0.6126760563380281,0,2,NYY,2011
143,87,56,1,up 2.5,.36,---,2.5,0.6083916083916084,0,3,NYY,2011
144,87,57,1,up 2.5,.43,----,2.5,0.6041666666666666,0,4,NYY,2011
145,88,57,1,up 3.5,.50,+,3.5,0.6068965517241379,1,0,NYY,2011
146,89,57,1,up 4.0,.35,++,4,0.6095890410958904,2,0,NYY,2011
147,90,57,1,up 4.0,.30,+++,4,0.6122448979591837,3,0,NYY,2011
148,90,58,1,up 4.0,.19,-,4,0.6081081081081081,0,1,NYY,2011
149,90,59,1,up 3.5,.19,--,3.5,0.6040268456375839,0,2,NYY,2011
150,91,59,1,up 4.5,.27,+,4.5,0.6066666666666667,1,0,NYY,2011
151,91,60,1,up 4.5,.16,-,4.5,0.6026490066225165,0,1,NYY,2011
152,92,60,1,up 5.0,.21,+,5,0.6052631578947368,1,0,NYY,2011
153,93,60,1,up 6.0,.16,++,6,0.6078431372549019,2,0,NYY,2011
154,94,60,1,up 7.5,.05,+++,7.5,0.6103896103896104,3,0,NYY,2011
155,95,60,1,up 7.5,.02,++++,7.5,0.6129032258064516,4,0,NYY,2011
156,95,61,1,up 7.0,.01,-,7,0.6089743589743589,0,1,NYY,2011
157,96,61,1,up 8.0,.01,+,8,0.6114649681528662,1,0,NYY,2011
158,97,61,1,up 8.0,.00,++,8,0.6139240506329114,2,0,NYY,2011
159,97,62,1,up 8.0,.00,-,8,0.610062893081761,0,1,NYY,2011
160,97,63,1,up 8.0,.00,--,8,0.60625,0,2,NYY,2011
161,97,64,1,up 7.0,.00,---,7,0.6024844720496895,0,3,NYY,2011
162,97,65,1,up 6.0,.00,----,6,0.5987654320987654,0,4,NYY,2011
1,0,1,4,1.0,1.11,-,-1,0,0,1,NYY,2012
2,0,2,4,2.0,1.03,--,-2,0,0,2,NYY,2012
3,0,3,4,3.0,.98,---,-3,0,0,3,NYY,2012
4,1,3,4,2.5,.96,+,-2.5,0.25,1,0,NYY,2012
5,2,3,4,1.5,.98,++,-1.5,0.4,2,0,NYY,2012
6,3,3,3,1.5,1.06,+++,-1.5,0.5,3,0,NYY,2012
7,4,3,1,Tied,1.00,++++,0,0.5714285714285714,4,0,NYY,2012
8,4,4,2,1.0,1.05,-,-1,0.5,0,1,NYY,2012
9,5,4,1,Tied,1.01,+,0,0.5555555555555556,1,0,NYY,2012
10,5,5,3,1.0,1.03,-,-1,0.5,0,1,NYY,2012
11,6,5,3,1.0,1.01,+,-1,0.5454545454545454,1,0,NYY,2012
12,6,6,3,1.0,1.02,-,-1,0.5,0,1,NYY,2012
13,7,6,2,1.0,1.02,+,-1,0.5384615384615384,1,0,NYY,2012
14,8,6,1,Tied,1.12,++,0,0.5714285714285714,2,0,NYY,2012
15,9,6,1,up 0.5,1.15,+++,0.5,0.6,3,0,NYY,2012
16,10,6,1,Tied,1.11,++++,0,0.625,4,0,NYY,2012
17,10,7,1,Tied,1.13,-,0,0.5882352941176471,0,1,NYY,2012
18,10,8,3,1.0,1.09,--,-1,0.5555555555555556,0,2,NYY,2012
19,11,8,3,1.5,1.01,+,-1.5,0.5789473684210527,1,0,NYY,2012
20,11,9,3,1.5,1.06,-,-1.5,0.55,0,1,NYY,2012
21,12,9,3,1.5,1.02,+,-1.5,0.5714285714285714,1,0,NYY,2012
22,13,9,3,1.5,1.20,++,-1.5,0.5909090909090909,2,0,NYY,2012
23,13,10,3,2.5,1.23,-,-2.5,0.5652173913043478,0,1,NYY,2012
24,13,11,4,3.5,1.12,--,-3.5,0.5416666666666666,0,2,NYY,2012
25,13,12,4,4.5,.96,---,-4.5,0.52,0,3,NYY,2012
26,14,12,4,4.5,.90,+,-4.5,0.5384615384615384,1,0,NYY,2012
27,14,13,4,4.5,.94,-,-4.5,0.5185185185185185,0,1,NYY,2012
28,15,13,4,4.0,.90,+,-4,0.5357142857142857,1,0,NYY,2012
29,16,13,3,2.5,1.14,++,-2.5,0.5517241379310345,2,0,NYY,2012
30,16,14,4,3.5,1.26,-,-3.5,0.5333333333333333,0,1,NYY,2012
31,17,14,4,2.5,1.18,+,-2.5,0.5483870967741935,1,0,NYY,2012
32,18,14,3,2.5,1.06,++,-2.5,0.5625,2,0,NYY,2012
33,19,14,3,2.5,1.06,+++,-2.5,0.5757575757575758,3,0,NYY,2012
34,19,15,3,2.5,1.08,-,-2.5,0.5588235294117647,0,1,NYY,2012
35,20,15,3,1.5,1.28,+,-1.5,0.5714285714285714,1,0,NYY,2012
36,20,16,3,2.5,1.31,-,-2.5,0.5555555555555556,0,1,NYY,2012
37,20,17,3,3.5,1.19,--,-3.5,0.5405405405405406,0,2,NYY,2012
38,20,18,4,4.5,1.12,---,-4.5,0.5263157894736842,0,3,NYY,2012
39,21,18,4,4.5,.96,+,-4.5,0.5384615384615384,1,0,NYY,2012
40,21,19,4,5.5,.98,-,-5.5,0.525,0,1,NYY,2012
41,21,20,4,5.5,.91,--,-5.5,0.5121951219512195,0,2,NYY,2012
42,21,21,4,5.5,.86,---,-5.5,0.5,0,3,NYY,2012
43,22,21,4,5.5,.84,+,-5.5,0.5116279069767442,1,0,NYY,2012
44,23,21,4,4.5,.90,++,-4.5,0.5227272727272727,2,0,NYY,2012
45,24,21,3,4.5,.98,+++,-4.5,0.5333333333333333,3,0,NYY,2012
46,25,21,3,3.5,1.01,++++,-3.5,0.5434782608695652,4,0,NYY,2012
47,26,21,3,2.5,1.05,+++++,-2.5,0.5531914893617021,5,0,NYY,2012
48,26,22,3,2.5,1.19,-,-2.5,0.5416666666666666,0,1,NYY,2012
